"('VIX', '^VIX')","('EURUSD', 'EURUSD=X')","('WTI_Oil', 'CL=F')","('DAX', '^GDAXI')","('SP500', '^GSPC')",SOFR,Repo_Volume
14.75,1.195500135421753,70.7300033569336,12948.1396484375,2672.6298828125,1.71,3.22
14.710000038146973,1.1933743953704834,69.05999755859375,12912.2099609375,2671.919921875,1.72,3.921
13.420000076293945,1.1867886781692505,71.13999938964844,12943.0595703125,2697.7900390625,1.72,2.72
13.229999542236328,1.184721827507019,71.36000061035156,13022.8701171875,2723.070068359375,1.73,4.645
12.649999618530273,1.1917530298233032,70.69999694824219,13001.240234375,2727.719970703125,1.73,3.222
12.930000305175781,1.1952143907546997,70.95999908447266,12977.7099609375,2730.1298828125,1.75,3.859
14.630000114440918,1.1931180953979492,71.30999755859375,12970.0400390625,2711.449951171875,1.79,2.095
13.420000076293945,1.1820889711380005,71.48999786376953,12996.330078125,2722.4599609375,1.75,2.545
13.430000305175781,1.1816978454589844,71.48999786376953,13114.6103515625,2720.1298828125,1.74,1.896
13.420000076293945,1.1795234680175781,71.27999877929688,13077.7197265625,2712.969970703125,1.73,9.12
13.079999923706055,1.1766643524169922,72.23999786376953,13077.7197265625,2733.010009765625,1.69,5.404
13.220000267028809,1.1792453527450562,72.12999725341797,13169.919921875,2724.43994140625,1.65,3.951
12.579999923706055,1.1788560152053833,71.83999633789062,12976.83984375,2733.2900390625,1.67,2.929
12.529999732971191,1.1710150241851807,70.70999908447266,12855.08984375,2727.760009765625,1.74,6.62
13.220000267028809,1.1722642183303833,67.87999725341797,12938.009765625,2721.330078125,1.73,0.02
13.220000267028809,1.1688934564590454,67.87999725341797,12863.4599609375,2721.330078125,1.73,0.02
17.020000457763672,1.162696123123169,66.7300033569336,12666.509765625,2689.860107421875,1.72,0.88
14.9399995803833,1.1539349555969238,68.20999908447266,12783.759765625,2724.010009765625,1.72,3.92
15.430000305175781,1.1667250394821167,67.04000091552734,12604.8896484375,2705.27001953125,1.81,21.475
13.460000038146973,1.1693171262741089,65.80999755859375,12724.26953125,2734.6201171875,1.81,12.546
12.739999771118164,1.1668611764907837,64.75,12770.75,2746.8701171875,1.8,11.166
12.399999618530273,1.1700559854507446,65.5199966430664,12787.1298828125,2748.800048828125,1.75,6.635
11.640000343322754,1.1726216077804565,64.7300033569336,12830.0703125,2772.35009765625,1.73,16.772
12.130000114440918,1.178550362586975,65.94999694824219,12811.0498046875,2770.3701171875,1.71,5.771
12.180000305175781,1.1795234680175781,65.73999786376953,12766.5498046875,2779.030029296875,1.69,2.771
12.350000381469727,1.1783976554870605,66.0999984741211,12842.91015625,2782.0,1.69,4.836
12.34000015258789,1.177412509918213,66.36000061035156,12842.2998046875,2786.85009765625,1.67,1.308
12.9399995803833,1.17482590675354,66.63999938964844,12890.580078125,2775.6298828125,1.71,3.025
12.119999885559082,1.1807769536972046,66.88999938964844,13107.099609375,2782.489990234375,1.9,2.935
11.979999542236328,1.1566576957702637,65.05999755859375,13010.5498046875,2779.659912109375,1.91,0.27
12.3100004196167,1.159595012664795,65.8499984741211,12834.1103515625,2773.75,1.9,0.37
13.350000381469727,1.1630746126174927,65.06999969482422,12677.9697265625,2762.590087890625,1.88,0.195
12.789999961853027,1.1588560342788696,66.22000122070312,12695.16015625,2767.320068359375,1.87,0.32
14.640000343322754,1.1579033136367798,65.54000091552734,12511.91015625,2749.760009765625,1.87,1.37
13.770000457763672,1.1605775356292725,68.58000183105469,12579.7197265625,2754.8798828125,1.92,1.43
17.329999923706055,1.1661399602890015,68.08000183105469,12270.330078125,2717.070068359375,1.91,12.73
15.920000076293945,1.1702749729156494,70.52999877929688,12234.33984375,2723.06005859375,1.9,10.385
17.90999984741211,1.1650259494781494,72.76000213623047,12348.6103515625,2699.6298828125,1.9,20.68
16.850000381469727,1.1563634872436523,73.44999694824219,12177.23046875,2716.31005859375,1.93,20.419
16.09000015258789,1.1562966108322144,74.1500015258789,12306.0,2718.3701171875,2.12,96.97
15.600000381469727,1.1678558588027954,73.94000244140625,12238.169921875,2726.7099609375,2.04,32.139
16.139999389648438,1.1642121076583862,74.13999938964844,12349.1396484375,2713.219970703125,2.0,4.852
16.139999389648438,1.1659224033355713,74.13999938964844,12317.6103515625,2713.219970703125,2.0,4.852
14.970000267028809,1.166235089302063,72.94000244140625,12464.2900390625,2736.610107421875,1.97,8.205
13.369999885559082,1.1695905923843384,73.80000305175781,12496.169921875,2759.820068359375,1.93,4.195
12.6899995803833,1.1752262115478516,73.8499984741211,12543.8896484375,2784.169921875,1.89,3.596
12.640000343322754,1.1756960153579712,74.11000061035156,12609.849609375,2793.840087890625,1.89,1.955
13.630000114440918,1.1727042198181152,70.37999725341797,12417.1298828125,2774.02001953125,1.89,1.23
12.579999923706055,1.1676785945892334,70.33000183105469,12492.9697265625,2798.2900390625,1.9,2.455
12.180000305175781,1.1665889024734497,71.01000213623047,12540.73046875,2801.31005859375,1.9,0.871
12.829999923706055,1.1679104566574097,68.05999755859375,12561.01953125,2798.429931640625,1.95,0.87
12.0600004196167,1.170946478843689,68.08000183105469,12661.5400390625,2809.550048828125,1.92,1.22
12.100000381469727,1.1653246879577637,68.76000213623047,12765.9404296875,2815.6201171875,1.9,6.021
12.869999885559082,1.164564609527588,69.45999908447266,12686.2900390625,2804.489990234375,1.9,3.62
12.859999656677246,1.1655147075653076,70.45999908447266,12561.419921875,2801.830078125,1.88,1.17
12.619999885559082,1.1741912364959717,67.88999938964844,12548.5703125,2806.97998046875,1.87,2.27
