GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/Uk,Stoxx50,Property Prices Ger,Property Prices UK,VIX
762609.1233333333,9.729609,87.1,4.81,1.5898,0.67254,1.2611,375.761,103.0737,102.7431,15.348968181818181
766318.6366666667,9.594719,87.0,4.82,1.5922,0.67397,1.2881,384.8228,102.2506877808384,104.68124387541167,14.157786363636363
770028.15,9.430186,87.8,4.8,1.5969,0.67286,1.3213,389.542,102.1329134260546,105.49698787361834,14.572242105263157
770366.0833333334,9.243304,87.6,4.85,1.6155,0.66341,1.2999,400.4311,101.6453,104.2394,15.64834090909091
770704.0166666666,9.052405,88.0,4.96,1.6212,0.668,1.3074,410.2969,101.91996136830971,106.90554599362389,14.558089999999998
771041.95,8.884637,88.2,4.95,1.6124,0.68021,1.3242,397.5413,101.81387382058023,107.55415542908241,19.521349999999998
772738.5333333333,8.747844,88.6,4.99,1.6375,0.67934,1.3516,421.7075,100.7383,108.2294,17.3246
774435.1166666666,8.634795,88.7,5.04,1.6506,0.68136,1.3511,431.7132,101.61658722163003,108.60671448734033,16.9661
776131.7,8.540737,88.8,5.19,1.6543,0.67562,1.3419,433.405,101.5250582258975,108.99991403802207,17.485990476190477
777454.4333333333,8.464734,89.3,5.33,1.6567,0.6744,1.3716,431.346,100.8471,111.2219,19.50789090909091
778777.1666666666,8.407069,89.1,5.37,1.6383,0.67766,1.3622,406.3849,101.34717263118668,109.51015002728678,27.178926086956523
780099.9,8.355804,89.3,5.31,1.6475,0.68887,1.3896,411.3402,101.26647271390252,109.58682980448054,24.32909
782026.5033333333,8.287532,89.4,5.29,1.6706,0.69614,1.4227,427.0707,100.1891,111.2219,19.837282608695652
783953.1066666667,8.197513,89.9,5.27,1.6485,0.70896,1.4684,411.3705,101.11298502898084,109.32107658707518,23.93940909090909
785879.71,8.087306,90.5,5.28,1.6592,0.72064,1.457,414.4812,101.04034599348763,108.93629979607294,19.305388235294117
787418.2866666666,7.96853,90.2,5.28,1.6203,0.74725,1.4718,380.1523,101.639,108.0632,27.157122727272725
788956.8633333333,7.85773,90.6,5.15,1.608,0.75094,1.4748,360.5727,100.90982026905004,107.64136522268485,28.688647619047618
790495.44,7.755223,91.1,5.09,1.572,0.77494,1.5527,342.8873,100.8474993566608,106.70150389689174,30.32215263157895
789546.4733333333,7.658001,90.9,5.13,1.5964,0.79487,1.5751,359.5926,101.8112,107.3982,23.20884090909091
788597.5066666667,7.547907,91.5,5.19,1.6247,0.79209,1.5557,367.1251,100.73484159311806,104.46047866863437,20.152966666666668
787648.54,7.412541,91.8,5.3,1.6139,0.79152,1.5553,340.1874,100.68420724545985,103.22858948641476,23.214685714285714
786210.7066666667,7.259702,92.3,5.47,1.6193,0.79308,1.577,311.878,100.6326,103.2419,25.919521739130435
784772.8733333334,7.116045,92.0,5.54,1.6212,0.79279,1.4975,316.065,100.58932017945368,100.57216181724276,22.699161904761905
783335.04,7.015406,92.0,5.45,1.5942,0.79924,1.437,301.3122,100.54804677090618,99.3023869476781,30.91322272727273
779280.34,6.975443,91.7,5.42,1.5194,0.78668,1.3322,241.5438,101.9201,96.4256,63.27197826086957
775225.64,6.992851,91.2,5.27,1.5162,0.83063,1.2732,225.0323,100.47324993609264,96.944056126249,60.599419999999995
771170.94,7.054686,91.5,4.96,1.5393,0.90448,1.3449,219.0086,100.43984279396382,95.93968631305896,49.987147368421056
